make,model,year,fuel,hp,cylinders,transmission,drive,doors,size,style,highway_mpg,city_mpg,popularity,price
Audi,200,1991,regular unleaded,217.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,22,16,3105,2000
Buick,LaCrosse,2016,flex-fuel (unleaded/E85),304.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,28,18,155,33810
Infiniti,EX,2013,premium unleaded (recommended),325.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,25,17,190,36900
Toyota,4Runner,2015,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,21,17,2031,41310
Infiniti,M56,2011,premium unleaded (required),420.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,25,16,190,58450
Toyota,Previa,1997,regular unleaded,161.0,4.0,AUTOMATIC,all wheel drive,3.0,Compact,Passenger Minivan,19,15,2031,2728
Chevrolet,Metro,1999,regular unleaded,79.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,39,33,1385,2000
Infiniti,G Sedan,2011,premium unleaded (recommended),218.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,29,20,190,33400
Chrysler,Sebring,2010,flex-fuel (unleaded/E85),186.0,6.0,AUTOMATIC,front wheel drive,2.0,Midsize,Convertible,26,18,1013,29210
Ford,Mustang,2017,premium unleaded (recommended),435.0,8.0,MANUAL,rear wheel drive,2.0,Midsize,Convertible,23,14,5657,42145
Mercedes-Benz,GLK-Class,2013,premium unleaded (required),302.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,25,19,617,37090
Volvo,850,1995,regular unleaded,168.0,5.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,26,18,870,2000
Ford,Mustang,2015,premium unleaded (recommended),435.0,8.0,MANUAL,rear wheel drive,2.0,Midsize,Coupe,25,15,5657,32300
Chevrolet,Impala,2015,flex-fuel (unleaded/natural gas),253.21666853869482,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,25,17,1385,37535
Mazda,3,2016,regular unleaded,184.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,37,25,586,24745
Infiniti,Q70,2015,premium unleaded (required),330.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,24,17,190,53500
Hyundai,Veloster,2016,regular unleaded,201.0,4.0,MANUAL,front wheel drive,3.0,Compact,2dr Hatchback,33,25,1439,21600
Ford,Transit Connect,2017,flex-fuel (unleaded/E85),169.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Passenger Minivan,27,19,5657,25590
Chevrolet,Corvette,2016,premium unleaded (recommended),455.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,29,17,1385,59855
Suzuki,Reno,2006,regular unleaded,126.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,28,19,481,16299
BMW,Z4,2016,premium unleaded (required),335.0,6.0,AUTOMATED_MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17,3916,66350
Mazda,CX-5,2016,regular unleaded,184.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,30,24,586,26515
Toyota,Celica,2005,premium unleaded (required),180.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,30,21,2031,22335
Ford,Fiesta,2015,regular unleaded,120.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,36,28,5657,14855
Ford,Contour SVT,1999,regular unleaded,200.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,26,17,5657,2702
Ford,Explorer,2016,regular unleaded,365.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,22,16,5657,52970
Subaru,WRX,2015,premium unleaded (recommended),268.0,4.0,MANUAL,all wheel drive,4.0,Compact,Sedan,28,21,640,26295
Acura,Vigor,1994,regular unleaded,176.0,5.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24,18,204,2000
Toyota,Tundra,2017,flex-fuel (unleaded/E85),381.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Extended Cab Pickup,18,13,2031,33430
Suzuki,Sidekick,1997,regular unleaded,120.0,4.0,MANUAL,four wheel drive,4.0,Compact,4dr SUV,23,19,481,2002
Buick,Verano,2017,regular unleaded,180.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,31,21,155,26555
Ford,Focus,2016,flex-fuel (unleaded/E85),160.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Compact,Sedan,40,27,5657,23225
Hyundai,Equus,2014,premium unleaded (recommended),429.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,23,15,1439,68500
Nissan,300ZX,1994,regular unleaded,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,22,16,2009,2847
Volkswagen,GTI,2013,premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,31,21,873,30395
Dodge,Ram Pickup 1500,2010,flex-fuel (unleaded/E85),310.0,8.0,AUTOMATIC,four wheel drive,2.0,Large,Regular Cab Pickup,18,13,1851,25065
Volkswagen,Rabbit,2008,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,29,21,873,18650
Cadillac,ATS,2016,premium unleaded (recommended),272.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,31,22,1624,39340
Volvo,S80,2016,regular unleaded,240.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,37,25,870,43450
Ford,Windstar,2001,regular unleaded,200.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,22,16,5657,27435
Mazda,B-Series Pickup,2000,flex-fuel (unleaded/E85),143.0,6.0,MANUAL,four wheel drive,2.0,Compact,Regular Cab Pickup,20,15,586,3190
BMW,5 Series,2015,premium unleaded (required),241.0,4.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,33,22,3916,52250
Volvo,XC60,2015,regular unleaded,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,24,17,870,42650
Dodge,Dynasty,1992,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,26,19,1851,2000
Kia,Borrego,2009,regular unleaded,276.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,21,17,1720,27995
Lincoln,Mark LT,2007,regular unleaded,300.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,Crew Cab Pickup,16,12,61,41525
Mercedes-Benz,500-Class,1992,regular unleaded,322.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,15,11,617,2427
Ford,Five Hundred,2007,regular unleaded,203.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,23,17,5657,28460
Chevrolet,C/K 1500 Series,1997,regular unleaded,200.0,6.0,MANUAL,rear wheel drive,2.0,Large,Regular Cab Pickup,20,15,1385,2207
Lexus,NX 200t,2017,premium unleaded (required),235.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,28,22,454,36485
Honda,Crosstour,2013,regular unleaded,278.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr Hatchback,30,20,2202,33540
