category,year,season,month,clicks,ttl_cat_clicks,month_min_clicks,min_cat_clicks,max_cat_clicks,month_max_clicks,avg_cat_clicks,std_cat_clicks,co_var_cat,mnth_ranking
Accessories for kitchen appliances,2021,Winter,1,81676,774200,6,41856,118898,12,64516.666666666664,24704.09313650209,38.291025269700995,3.0
Accessories for kitchen appliances,2021,Winter,2,59529,774200,6,41856,118898,12,64516.666666666664,24704.09313650209,38.291025269700995,5.0
Accessories for kitchen appliances,2021,Spring,3,64537,774200,6,41856,118898,12,64516.666666666664,24704.09313650209,38.291025269700995,4.0
Accessories for kitchen appliances,2021,Spring,4,55455,774200,6,41856,118898,12,64516.666666666664,24704.09313650209,38.291025269700995,7.0
Accessories for kitchen appliances,2021,Spring,5,52882,774200,6,41856,118898,12,64516.666666666664,24704.09313650209,38.291025269700995,8.0
Accessories for kitchen appliances,2021,Summer,6,41856,774200,6,41856,118898,12,64516.666666666664,24704.09313650209,38.291025269700995,12.0
Accessories for kitchen appliances,2021,Summer,7,46075,774200,6,41856,118898,12,64516.666666666664,24704.09313650209,38.291025269700995,10.0
Accessories for kitchen appliances,2021,Summer,8,43049,774200,6,41856,118898,12,64516.666666666664,24704.09313650209,38.291025269700995,11.0
Accessories for kitchen appliances,2021,Autumn,9,46719,774200,6,41856,118898,12,64516.666666666664,24704.09313650209,38.291025269700995,9.0
Accessories for kitchen appliances,2021,Autumn,10,59479,774200,6,41856,118898,12,64516.666666666664,24704.09313650209,38.291025269700995,6.0
Accessories for kitchen appliances,2021,Autumn,11,104045,774200,6,41856,118898,12,64516.666666666664,24704.09313650209,38.291025269700995,2.0
Accessories for kitchen appliances,2021,Winter,12,118898,774200,6,41856,118898,12,64516.666666666664,24704.09313650209,38.291025269700995,1.0
All-in-One PCs,2021,Winter,1,79257,921197,6,52846,134469,11,76766.41666666667,23784.127352112693,30.982463927406656,4.0
All-in-One PCs,2021,Winter,2,64031,921197,6,52846,134469,11,76766.41666666667,23784.127352112693,30.982463927406656,9.0
All-in-One PCs,2021,Spring,3,69552,921197,6,52846,134469,11,76766.41666666667,23784.127352112693,30.982463927406656,6.0
All-in-One PCs,2021,Spring,4,59272,921197,6,52846,134469,11,76766.41666666667,23784.127352112693,30.982463927406656,11.0
All-in-One PCs,2021,Spring,5,64732,921197,6,52846,134469,11,76766.41666666667,23784.127352112693,30.982463927406656,8.0
All-in-One PCs,2021,Summer,6,52846,921197,6,52846,134469,11,76766.41666666667,23784.127352112693,30.982463927406656,12.0
All-in-One PCs,2021,Summer,7,59345,921197,6,52846,134469,11,76766.41666666667,23784.127352112693,30.982463927406656,10.0
All-in-One PCs,2021,Summer,8,66263,921197,6,52846,134469,11,76766.41666666667,23784.127352112693,30.982463927406656,7.0
All-in-One PCs,2021,Autumn,9,73099,921197,6,52846,134469,11,76766.41666666667,23784.127352112693,30.982463927406656,5.0
All-in-One PCs,2021,Autumn,10,88708,921197,6,52846,134469,11,76766.41666666667,23784.127352112693,30.982463927406656,3.0
All-in-One PCs,2021,Autumn,11,134469,921197,6,52846,134469,11,76766.41666666667,23784.127352112693,30.982463927406656,1.0
All-in-One PCs,2021,Winter,12,109623,921197,6,52846,134469,11,76766.41666666667,23784.127352112693,30.982463927406656,2.0
"Champagne, Sparkling Wine & Prosecco",2021,Winter,1,59296,656334,6,43985,81142,11,54694.5,11131.379858106297,20.351918123588835,3.0
"Champagne, Sparkling Wine & Prosecco",2021,Winter,2,45506,656334,6,43985,81142,11,54694.5,11131.379858106297,20.351918123588835,11.0
"Champagne, Sparkling Wine & Prosecco",2021,Spring,3,48166,656334,6,43985,81142,11,54694.5,11131.379858106297,20.351918123588835,9.0
"Champagne, Sparkling Wine & Prosecco",2021,Spring,4,47221,656334,6,43985,81142,11,54694.5,11131.379858106297,20.351918123588835,10.0
"Champagne, Sparkling Wine & Prosecco",2021,Spring,5,52018,656334,6,43985,81142,11,54694.5,11131.379858106297,20.351918123588835,5.0
"Champagne, Sparkling Wine & Prosecco",2021,Summer,6,43985,656334,6,43985,81142,11,54694.5,11131.379858106297,20.351918123588835,12.0
"Champagne, Sparkling Wine & Prosecco",2021,Summer,7,51692,656334,6,43985,81142,11,54694.5,11131.379858106297,20.351918123588835,6.0
"Champagne, Sparkling Wine & Prosecco",2021,Summer,8,51143,656334,6,43985,81142,11,54694.5,11131.379858106297,20.351918123588835,7.0
"Champagne, Sparkling Wine & Prosecco",2021,Autumn,9,48794,656334,6,43985,81142,11,54694.5,11131.379858106297,20.351918123588835,8.0
"Champagne, Sparkling Wine & Prosecco",2021,Autumn,10,55957,656334,6,43985,81142,11,54694.5,11131.379858106297,20.351918123588835,4.0
"Champagne, Sparkling Wine & Prosecco",2021,Autumn,11,81142,656334,6,43985,81142,11,54694.5,11131.379858106297,20.351918123588835,1.0
"Champagne, Sparkling Wine & Prosecco",2021,Winter,12,71414,656334,6,43985,81142,11,54694.5,11131.379858106297,20.351918123588835,2.0
Coffee & espresso,2021,Winter,1,61687,621284,6,36226,61849,3,51773.666666666664,6848.562149469881,13.22788705223997,2.0
Coffee & espresso,2021,Winter,2,48637,621284,6,36226,61849,3,51773.666666666664,6848.562149469881,13.22788705223997,11.0
Coffee & espresso,2021,Spring,3,61849,621284,6,36226,61849,3,51773.666666666664,6848.562149469881,13.22788705223997,1.0
Coffee & espresso,2021,Spring,4,50132,621284,6,36226,61849,3,51773.666666666664,6848.562149469881,13.22788705223997,7.0
Coffee & espresso,2021,Spring,5,53037,621284,6,36226,61849,3,51773.666666666664,6848.562149469881,13.22788705223997,5.0
Coffee & espresso,2021,Summer,6,36226,621284,6,36226,61849,3,51773.666666666664,6848.562149469881,13.22788705223997,12.0
Coffee & espresso,2021,Summer,7,48785,621284,6,36226,61849,3,51773.666666666664,6848.562149469881,13.22788705223997,10.0
Coffee & espresso,2021,Summer,8,49375,621284,6,36226,61849,3,51773.666666666664,6848.562149469881,13.22788705223997,8.0
Coffee & espresso,2021,Autumn,9,48981,621284,6,36226,61849,3,51773.666666666664,6848.562149469881,13.22788705223997,9.0
Coffee & espresso,2021,Autumn,10,51312,621284,6,36226,61849,3,51773.666666666664,6848.562149469881,13.22788705223997,6.0
Coffee & espresso,2021,Autumn,11,57609,621284,6,36226,61849,3,51773.666666666664,6848.562149469881,13.22788705223997,3.0
Coffee & espresso,2021,Winter,12,53654,621284,6,36226,61849,3,51773.666666666664,6848.562149469881,13.22788705223997,4.0
Coffee machine cleaning,2021,Winter,1,81720,700288,6,44302,81720,1,58357.333333333336,9751.063795889919,16.709234707817217,1.0
Coffee machine cleaning,2021,Winter,2,58462,700288,6,44302,81720,1,58357.333333333336,9751.063795889919,16.709234707817217,6.0
Coffee machine cleaning,2021,Spring,3,64776,700288,6,44302,81720,1,58357.333333333336,9751.063795889919,16.709234707817217,3.0
Coffee machine cleaning,2021,Spring,4,54412,700288,6,44302,81720,1,58357.333333333336,9751.063795889919,16.709234707817217,8.0
Coffee machine cleaning,2021,Spring,5,58023,700288,6,44302,81720,1,58357.333333333336,9751.063795889919,16.709234707817217,7.0
Coffee machine cleaning,2021,Summer,6,44302,700288,6,44302,81720,1,58357.333333333336,9751.063795889919,16.709234707817217,12.0
Coffee machine cleaning,2021,Summer,7,50313,700288,6,44302,81720,1,58357.333333333336,9751.063795889919,16.709234707817217,10.0
Coffee machine cleaning,2021,Summer,8,49835,700288,6,44302,81720,1,58357.333333333336,9751.063795889919,16.709234707817217,11.0
Coffee machine cleaning,2021,Autumn,9,51273,700288,6,44302,81720,1,58357.333333333336,9751.063795889919,16.709234707817217,9.0
Coffee machine cleaning,2021,Autumn,10,60597,700288,6,44302,81720,1,58357.333333333336,9751.063795889919,16.709234707817217,5.0
Coffee machine cleaning,2021,Autumn,11,64788,700288,6,44302,81720,1,58357.333333333336,9751.063795889919,16.709234707817217,2.0
Coffee machine cleaning,2021,Winter,12,61787,700288,6,44302,81720,1,58357.333333333336,9751.063795889919,16.709234707817217,4.0
Drills & Bits,2021,Winter,1,65607,816440,2,52772,87129,10,68036.66666666667,10828.154575695322,15.915175016944765,8.0
Drills & Bits,2021,Winter,2,52772,816440,2,52772,87129,10,68036.66666666667,10828.154575695322,15.915175016944765,12.0
Drills & Bits,2021,Spring,3,74374,816440,2,52772,87129,10,68036.66666666667,10828.154575695322,15.915175016944765,4.0
Drills & Bits,2021,Spring,4,66472,816440,2,52772,87129,10,68036.66666666667,10828.154575695322,15.915175016944765,7.0
Drills & Bits,2021,Spring,5,67636,816440,2,52772,87129,10,68036.66666666667,10828.154575695322,15.915175016944765,6.0
Drills & Bits,2021,Summer,6,55287,816440,2,52772,87129,10,68036.66666666667,10828.154575695322,15.915175016944765,11.0
Drills & Bits,2021,Summer,7,69637,816440,2,52772,87129,10,68036.66666666667,10828.154575695322,15.915175016944765,5.0
Drills & Bits,2021,Summer,8,59569,816440,2,52772,87129,10,68036.66666666667,10828.154575695322,15.915175016944765,9.0
