category,month,avg_cat_clicks,imputed_clicks,imputed_diff_avg
All-in-One PCs,6,76766.41666666667,52846,-23920.41666666667
Drills & Bits,5,68036.66666666667,67636,-400.6666666666715
Epilators & Ladyshavers,10,61210.0,41129,-20081.0
"Eye, Ear & Nose Medicines",4,56615.916666666664,61113,4497.083333333336
Joint & muscle preparations,3,84028.16666666667,95780,11751.833333333328
Nursing Gift Sets,7,52633.083333333336,39030,-13603.083333333336
PowerLine,7,69059.16666666667,63422,-5637.1666666666715
Razor Blades & Shaving Heads,11,76386.33333333333,97742,21355.66666666667
Razor Blades & Shaving Heads,12,76386.33333333333,75069,-1317.3333333333285
Ski helmets & snowboard helmets,2,76446.66666666667,141912,65465.33333333333
Xbox One games,2,65384.166666666664,54917,-10467.166666666664
bike locks,11,75646.16666666667,48196,-27450.16666666667
capsule machines,7,87970.91666666667,69061,-18909.91666666667
children's bikes,12,76862.41666666667,67219,-9643.416666666672
coffee pad machines,5,64044.333333333336,48442,-15602.333333333336
control software,8,74114.0,26664,-47450.0
drinking bottles,9,59664.916666666664,68354,8689.083333333336
fryers,11,86091.41666666667,158620,72528.58333333333
garden pumps,7,77264.66666666667,127392,50127.33333333333
liqueurs,12,62797.916666666664,104000,41202.083333333336
mattresses,1,73678.91666666667,96388,22709.08333333333
multifunction tools,6,62304.833333333336,47888,-14416.833333333336
pocket knife,4,61354.083333333336,53184,-8170.083333333336
pocket knife,12,61354.083333333336,79294,17939.916666666664
sewing machines,5,60585.666666666664,46620,-13965.666666666664
shopping bags,3,70157.25,60420,-9737.25
shopping bags,10,70157.25,57971,-12186.25
stuffed animals,4,67856.91666666667,50308,-17548.91666666667
trekking sandals,2,57862.5,27396,-30466.5
washer dryer,10,63417.166666666664,72819,9401.833333333336
