,year,country,continent,population,fertility,life expectancy
0,1950,Afghanistan,Asia,7752118.0,7.67,26.85
1,1950,Albania,Europe,1263171.0,5.8,54.48
2,1950,Algeria,Africa,8872247.0,7.65,42.77
3,1950,Angola,Africa,4354882.0,6.93,30.7
4,1950,Antigua and Barbuda,North America,46301.0,4.45,57.97
5,1950,Argentina,South America,17150335.0,3.16,61.61
6,1950,Armenia,Europe,1353506.0,4.53,62.41
8,1950,Australia,Australia and Oceania,8177344.0,3.07,69.01
9,1950,Austria,Europe,6936445.0,1.87,64.87
10,1950,Azerbaijan,Europe,2895997.0,5.64,57.29
11,1950,Bahamas,North America,79088.0,3.98,58.74
12,1950,Bahrain,Asia,115614.0,7.03,41.04
13,1950,Bangladesh,Asia,37894680.0,6.23,42.46
14,1950,Barbados,North America,210995.0,4.52,56.5
15,1950,Belarus,Europe,7745003.0,2.53,64.89
16,1950,Belgium,Europe,8628489.0,2.3,66.32
17,1950,Belize,North America,68918.0,6.69,54.86
18,1950,Benin,Africa,2255221.0,5.75,33.22
19,1950,Bhutan,Asia,176795.0,6.67,30.59
20,1950,Bolivia,South America,3089649.0,6.72,40.41
21,1950,Bosnia and Herzegovina,Europe,2661293.0,5.06,52.52
22,1950,Botswana,Africa,412533.0,6.47,46.68
23,1950,Brazil,South America,53974726.0,6.18,50.33
24,1950,Brunei,Asia,48001.0,7.52,56.68
25,1950,Bulgaria,Europe,7250999.0,2.66,61.41
27,1950,Burundi,Africa,2308923.0,6.82,38.07
28,1950,Cambodia,Asia,4432716.0,6.95,40.32
29,1950,Cameroon,Africa,4466498.0,5.54,38.83
30,1950,Canada,North America,13736997.0,3.43,68.26
31,1950,Cape Verde,Africa,178066.0,6.5,48.32
32,1950,Central African Republic,Africa,1326653.0,5.4,33.08
33,1950,Chad,Africa,2502314.0,6.06,37.02
35,1950,Chile,South America,6142899.0,4.62,54.25
36,1950,China,Asia,544112923.0,5.29,41.04
37,1950,Colombia,South America,12340899.0,6.78,49.03
38,1950,Comoros,Africa,156334.0,5.69,40.4
41,1950,Costa Rica,North America,959489.0,6.55,56.29
43,1950,Croatia,Europe,3850295.0,2.95,60.3
44,1950,Cuba,North America,5919997.0,4.76,58.24
45,1950,Cyprus,Europe,494014.0,3.85,65.89
46,1950,Czech Republic,Europe,8902619.0,2.85,64.49
47,1950,Denmark,Europe,4268270.0,2.58,70.37
48,1950,Djibouti,Africa,62001.0,6.3,41.24
49,1950,Dominican Republic,North America,2364650.0,7.51,45.1
50,1950,Ecuador,South America,3470162.0,6.69,47.75
51,1950,Egypt,Africa,20897237.0,6.59,38.59
52,1950,El Salvador,North America,2199897.0,6.16,43.62
53,1950,Equatorial Guinea,Africa,225536.0,5.51,34.35
54,1950,Eritrea,Africa,1142150.0,6.92,36.29
55,1950,Estonia,Europe,1100998.0,2.09,58.67
56,1950,Ethiopia,Africa,18128034.0,7.35,32.95
57,1950,Fiji,Australia and Oceania,288993.0,6.3,51.03
58,1950,Finland,Europe,4008299.0,3.16,64.25
59,1950,France,Europe,41879607.0,2.83,66.43
62,1950,Gabon,Africa,473300.0,3.95,35.59
63,1950,Gambia,Africa,271372.0,5.23,31.52
64,1950,Georgia,Europe,3527004.0,3.1,59.77
65,1950,Germany,Europe,69786246.0,2.07,66.91
66,1950,Ghana,Africa,4980878.0,6.37,41.37
67,1950,Greece,Europe,7566002.0,2.27,65.5
69,1950,Grenada,North America,76676.0,5.18,55.49
72,1950,Guatemala,North America,3146073.0,7.25,41.86
73,1950,Guinea,Africa,3093651.0,5.98,32.95
74,1950,Guinea-Bissau,Africa,535429.0,8.51,39.26
75,1950,Guyana,South America,406562.0,5.31,57.39
76,1950,Haiti,North America,3221277.0,6.31,36.24
77,1950,Honduras,North America,1487235.0,7.47,41.57
79,1950,Hungary,Europe,9337723.0,2.79,62.09
80,1950,Iceland,Europe,142656.0,3.62,71.07
81,1950,India,Asia,376325205.0,5.89,34.77
82,1950,Indonesia,Asia,69543319.0,5.35,36.51
83,1950,Iran,Asia,17119263.0,6.92,39.94
84,1950,Iraq,Asia,5719191.0,8.11,34.34
85,1950,Ireland,Europe,2913093.0,3.48,65.87
86,1950,Israel,Asia,1257971.0,4.52,64.09
87,1950,Italy,Europe,46598602.0,2.45,65.76
88,1950,Jamaica,North America,1402896.0,3.8,57.45
89,1950,Japan,Asia,82199470.0,3.51,59.29
90,1950,Jordan,Asia,448861.0,7.56,45.09
91,1950,Kazakhstan,Asia,6702996.0,4.3,54.41
92,1950,Kenya,Africa,6076757.0,7.36,42.13
93,1950,Kiribati,Australia and Oceania,33050.0,5.67,42.08
94,1950,North Korea,Asia,10549469.0,1.95,35.8
95,1950,South Korea,Asia,19211386.0,4.02,43.02
96,1950,Kuwait,Asia,152250.0,7.23,52.29
99,1950,Latvia,Europe,1949000.0,2.01,59.75
100,1950,Lebanon,Asia,1334618.0,5.76,59.41
101,1950,Lesotho,Africa,733942.0,5.81,41.23
102,1950,Liberia,Africa,930026.0,6.25,32.97
103,1950,Libya,Africa,1113382.0,7.2,38.26
104,1950,Lithuania,Europe,2567402.0,2.68,63.59
105,1950,Luxembourg,Europe,296001.0,1.87,65.21
108,1950,Madagascar,Africa,4083554.0,7.3,36.35
109,1950,Malawi,Africa,2953871.0,6.79,36.35
110,1950,Malaysia,Asia,6109907.0,6.2,53.7
111,1950,Maldives,Asia,73715.0,5.6,33.72
112,1950,Mali,Africa,4708425.0,6.4,27.12
113,1950,Malta,Europe,311997.0,4.21,65.93
115,1950,Mauritania,Africa,660491.0,6.12,37.66
116,1950,Mauritius,Africa,493254.0,6.05,48.05
118,1950,Mexico,North America,28012558.0,6.62,48.69
120,1950,Moldova,Europe,2341003.0,3.48,58.26
121,1950,Mongolia,Asia,780200.0,5.5,42.93
122,1950,Montenegro,Europe,394738.0,4.08,59.2
123,1950,Morocco,Africa,8985990.0,6.5,45.63
124,1950,Mozambique,Africa,6313290.0,6.6,31.85
126,1950,Namibia,Africa,485274.0,5.96,40.33
127,1950,Nepal,Asia,8483321.0,5.99,35.26
128,1950,Netherlands,Europe,10027047.0,3.1,71.44
131,1950,New Zealand,Australia and Oceania,1908001.0,3.47,69.3
132,1950,Nicaragua,North America,1294993.0,6.88,42.88
133,1950,Niger,Africa,2559703.0,6.86,35.53
134,1950,Nigeria,Africa,37859745.0,6.36,34.93
135,1950,Norway,Europe,3265278.0,2.52,71.64
136,1950,Oman,Asia,456418.0,7.25,35.17
137,1950,Pakistan,Asia,37542380.0,6.6,36.23
138,1950,Panama,North America,859660.0,5.68,56.11
139,1950,Papua New Guinea,Australia and Oceania,1708192.0,6.23,33.77
140,1950,Paraguay,South America,1473245.0,6.49,63.93
141,1950,Peru,South America,7727735.0,6.86,43.74
142,1950,Philippines,Asia,18580487.0,7.45,55.22
143,1950,Poland,Europe,24824013.0,3.66,59.08
144,1950,Portugal,Europe,8416969.0,3.1,58.52
146,1950,Qatar,Asia,24999.0,6.97,53.47
148,1950,Romania,Europe,16236292.0,3.58,61.2
150,1950,Rwanda,Africa,2186187.0,7.92,39.8
153,1950,Samoa,Australia and Oceania,82102.0,7.64,45.73
154,1950,Sao Tome and Principe,Africa,60000.0,6.23,45.87
155,1950,Saudi Arabia,Asia,3121336.0,7.2,41.96
156,1950,Senegal,Africa,2476638.0,6.46,34.63
157,1950,Serbia,Europe,6732256.0,3.48,58.38
158,1950,Seychelles,Africa,36322.0,5.16,57.64
159,1950,Sierra Leone,Africa,1944001.0,5.72,31.27
160,1950,Singapore,Asia,1022098.0,6.49,58.16
162,1950,Slovenia,Europe,1473094.0,2.74,64.42
163,1950,Solomon Islands,Australia and Oceania,89793.0,6.4,45.07
164,1950,Somalia,Africa,2264081.0,7.25,33.86
165,1950,South Africa,Africa,13683162.0,6.35,43.53
166,1950,Spain,Europe,28069737.0,2.45,61.85
167,1950,Sri Lanka,Asia,8075810.0,6.03,52.67
168,1950,Sudan,Africa,5733944.0,6.68,44.09
169,1950,Suriname,South America,214999.0,6.58,55.12
170,1950,Swaziland,Africa,273000.0,6.71,40.75
171,1950,Sweden,Europe,7009913.0,2.28,71.13
172,1950,Switzerland,Europe,4668088.0,2.33,68.95
173,1950,Syria,Asia,3413329.0,7.18,47.56
175,1950,Tajikistan,Asia,1531502.0,5.87,52.68
176,1950,Tanzania,Africa,7649766.0,6.7,41.34
177,1950,Thailand,Asia,20710356.0,6.13,50.97
179,1950,Togo,Africa,1395458.0,6.34,34.31
180,1950,Tonga,Australia and Oceania,47220.0,7.33,57.83
181,1950,Trinidad and Tobago,North America,645628.0,5.28,57.11
182,1950,Tunisia,Africa,3605310.0,6.74,38.86
183,1950,Turkey,Asia,21238496.0,6.67,40.94
184,1950,Turkmenistan,Asia,1211000.0,6.22,50.66
185,1950,Uganda,Africa,5158193.0,6.89,39.63
186,1950,Ukraine,Europe,37297652.0,2.72,62.56
187,1950,United Arab Emirates,Asia,69590.0,6.94,41.23
188,1950,United Kingdom,Europe,50616012.0,2.08,68.66
189,1950,United States,North America,157813040.0,3.02,68.12
190,1950,Uruguay,South America,2238506.0,2.69,65.89
191,1950,Uzbekistan,Asia,6945397.0,5.71,55.09
192,1950,Vanuatu,Australia and Oceania,47695.0,7.68,40.52
193,1950,Venezuela,South America,5481977.0,6.54,54.33
196,1950,Vietnam,Asia,24809903.0,4.96,51.58
198,1950,Yemen,Asia,4402320.0,7.27,23.51
199,1950,Zambia,Africa,2316950.0,6.71,42.85
200,1950,Zimbabwe,Africa,2746854.0,6.75,48.46
201,1951,Afghanistan,Asia,7839426.0,7.67,27.13
202,1951,Albania,Europe,1287499.0,5.9,54.72
203,1951,Algeria,Africa,9039913.0,7.65,43.03
204,1951,Angola,Africa,4439705.0,6.94,31.05
205,1951,Antigua and Barbuda,North America,48306.0,4.46,58.26
206,1951,Argentina,South America,17507132.0,3.16,61.93
207,1951,Armenia,Europe,1382982.0,4.51,62.67
209,1951,Australia,Australia and Oceania,8417640.0,3.06,68.71
210,1951,Austria,Europe,6930348.0,2.02,65.24
211,1951,Azerbaijan,Europe,2965338.0,5.59,57.5
212,1951,Bahamas,North America,79984.0,3.99,58.91
213,1951,Bahrain,Asia,116919.0,7.01,41.45
214,1951,Bangladesh,Asia,38706927.0,6.27,42.58
215,1951,Barbados,North America,215704.0,4.49,56.82
216,1951,Belarus,Europe,7717708.0,2.55,65.11
217,1951,Belgium,Europe,8673691.0,2.31,66.77
218,1951,Belize,North America,71243.0,6.68,55.15
219,1951,Benin,Africa,2258049.0,5.78,33.53
220,1951,Bhutan,Asia,181489.0,6.67,30.94
221,1951,Bolivia,South America,3140342.0,6.73,40.6
222,1951,Bosnia and Herzegovina,Europe,2709913.0,5.0,53.22
223,1951,Botswana,Africa,425270.0,6.48,46.87
224,1951,Brazil,South America,55605541.0,6.17,50.59
225,1951,Brunei,Asia,50971.0,7.36,56.99
226,1951,Bulgaria,Europe,7303773.0,2.62,60.65
228,1951,Burundi,Africa,2359234.0,6.81,38.19
229,1951,Cambodia,Asia,4539656.0,6.95,40.5
230,1951,Cameroon,Africa,4544218.0,5.52,39.08
231,1951,Canada,North America,14099994.0,3.47,68.53
232,1951,Cape Verde,Africa,186124.0,6.51,48.45
233,1951,Central African Republic,Africa,1339842.0,5.43,33.34
234,1951,Chad,Africa,2544102.0,6.07,37.29
236,1951,Chile,South America,6278346.0,4.71,54.35
237,1951,China,Asia,558820362.0,5.26,41.98
238,1951,Colombia,South America,12699949.0,6.77,49.7
239,1951,Comoros,Africa,160083.0,5.77,40.58
242,1951,Costa Rica,North America,986159.0,6.59,56.6
244,1951,Croatia,Europe,3886222.0,2.9,60.57
245,1951,Cuba,North America,6051290.0,4.56,58.53
246,1951,Cyprus,Europe,500378.0,3.81,66.13
247,1951,Czech Republic,Europe,9005036.0,2.8,65.32
248,1951,Denmark,Europe,4308324.0,2.5,70.97
249,1951,Djibouti,Africa,63309.0,6.3,41.48
250,1951,Dominican Republic,North America,2438412.0,7.54,45.6
251,1951,Ecuador,South America,3561154.0,6.69,48.06
252,1951,Egypt,Africa,21383393.0,6.6,39.32
253,1951,El Salvador,North America,2236577.0,6.19,44.11
254,1951,Equatorial Guinea,Africa,230057.0,5.5,34.55
255,1951,Eritrea,Africa,1162658.0,6.94,36.47
256,1951,Estonia,Europe,1113247.0,2.08,59.91
257,1951,Ethiopia,Africa,18466918.0,7.3,33.09
258,1951,Fiji,Australia and Oceania,296206.0,6.4,51.3
259,1951,Finland,Europe,4049689.0,3.01,65.68
260,1951,France,Europe,42071027.0,2.81,66.17
263,1951,Gabon,Africa,475864.0,3.95,35.84
264,1951,Gambia,Africa,272719.0,5.24,31.85
265,1951,Georgia,Europe,3584698.0,3.07,59.96
266,1951,Germany,Europe,70111671.0,2.08,67.08
267,1951,Ghana,Africa,5068433.0,6.39,41.66
268,1951,Greece,Europe,7635277.0,2.28,65.57
270,1951,Grenada,North America,76626.0,5.36,55.81
273,1951,Guatemala,North America,3237922.0,7.18,42.06
274,1951,Guinea,Africa,3141548.0,5.98,33.12
275,1951,Guinea-Bissau,Africa,544103.0,8.19,39.65
276,1951,Guyana,South America,420290.0,5.41,57.51
277,1951,Haiti,North America,3275368.0,6.31,36.56
278,1951,Honduras,North America,1524974.0,7.48,41.86
280,1951,Hungary,Europe,9478110.0,2.77,62.48
281,1951,Iceland,Europe,144928.0,3.69,71.12
282,1951,India,Asia,382231042.0,5.89,35.1
283,1951,Indonesia,Asia,70869608.0,5.39,36.99
284,1951,Iran,Asia,17516578.0,6.91,40.29
285,1951,Iraq,Asia,5901507.0,7.88,35.08
286,1951,Ireland,Europe,2921278.0,3.45,65.07
287,1951,Israel,Asia,1354097.0,4.45,64.42
288,1951,Italy,Europe,47014137.0,2.42,65.3
289,1951,Jamaica,North America,1436851.0,3.91,58.02
290,1951,Japan,Asia,83794452.0,3.37,60.98
291,1951,Jordan,Asia,503116.0,7.5,45.56
292,1951,Kazakhstan,Asia,6831158.0,4.33,54.67
293,1951,Kenya,Africa,6240177.0,7.39,42.33
294,1951,Kiribati,Australia and Oceania,33627.0,5.79,42.25
295,1951,North Korea,Asia,10248496.0,2.41,26.78
296,1951,South Korea,Asia,19304737.0,4.33,40.52
297,1951,Kuwait,Asia,163632.0,7.22,52.95
300,1951,Latvia,Europe,1954829.0,2.01,60.48
301,1951,Lebanon,Asia,1358220.0,5.75,59.61
302,1951,Lesotho,Africa,744320.0,5.82,41.53
303,1951,Liberia,Africa,943241.0,6.26,33.11
304,1951,Libya,Africa,1131590.0,7.22,38.07
305,1951,Lithuania,Europe,2569877.0,2.69,63.9
306,1951,Luxembourg,Europe,297588.0,1.9,65.38
309,1951,Madagascar,Africa,4167827.0,7.3,36.69
310,1951,Malawi,Africa,3008074.0,6.78,36.45
311,1951,Malaysia,Asia,6261916.0,6.21,54.05
312,1951,Maldives,Asia,74224.0,5.72,33.9
313,1951,Mali,Africa,4759039.0,6.42,27.34
314,1951,Malta,Europe,312725.0,4.2,66.02
316,1951,Mauritania,Africa,675594.0,6.18,37.95
317,1951,Mauritius,Africa,506431.0,5.99,48.57
319,1951,Mexico,North America,28836111.0,6.64,49.27
321,1951,Moldova,Europe,2381443.0,3.49,58.5
322,1951,Mongolia,Asia,793537.0,5.5,43.09
323,1951,Montenegro,Europe,400876.0,4.07,59.32
324,1951,Morocco,Africa,9243680.0,6.53,45.84
325,1951,Mozambique,Africa,6405068.0,6.6,32.26
327,1951,Namibia,Africa,494611.0,5.97,40.72
328,1951,Nepal,Asia,8657577.0,5.99,35.53
329,1951,Netherlands,Europe,10148714.0,3.05,71.5
332,1951,New Zealand,Australia and Oceania,1947802.0,3.27,69.17
333,1951,Nicaragua,North America,1331740.0,6.98,43.38
334,1951,Niger,Africa,2637582.0,6.87,35.61
335,1951,Nigeria,Africa,38431323.0,6.36,35.25
336,1951,Norway,Europe,3300422.0,2.48,72.58
337,1951,Oman,Asia,462257.0,7.25,35.74
338,1951,Pakistan,Asia,37976075.0,6.6,36.85
339,1951,Panama,North America,881346.0,5.7,56.42
340,1951,Papua New Guinea,Australia and Oceania,1729254.0,6.23,34.02
341,1951,Paraguay,South America,1511764.0,6.49,64.04
342,1951,Peru,South America,7924206.0,6.86,43.99
343,1951,Philippines,Asia,19246611.0,7.44,55.43
344,1951,Poland,Europe,25264029.0,3.66,59.68
345,1951,Portugal,Europe,8431207.0,3.1,58.71
347,1951,Qatar,Asia,27475.0,6.97,53.86
349,1951,Romania,Europe,16512672.0,3.46,61.13
351,1951,Rwanda,Africa,2250675.0,7.94,39.99
354,1951,Samoa,Australia and Oceania,84439.0,7.64,46.08
355,1951,Sao Tome and Principe,Africa,59203.0,6.22,46.1
356,1951,Saudi Arabia,Asia,3198551.0,7.19,42.31
357,1951,Senegal,Africa,2529699.0,6.49,34.89
358,1951,Serbia,Europe,6853289.0,3.41,58.63
359,1951,Seychelles,Africa,36883.0,5.1,57.55
360,1951,Sierra Leone,Africa,1962818.0,5.73,31.66
361,1951,Singapore,Asia,1067964.0,6.54,58.62
363,1951,Slovenia,Europe,1481637.0,2.69,64.71
364,1951,Solomon Islands,Australia and Oceania,91808.0,6.4,45.39
365,1951,Somalia,Africa,2307576.0,7.25,34.13
366,1951,South Africa,Africa,13993888.0,6.34,43.92
367,1951,Spain,Europe,28237323.0,2.47,61.5
368,1951,Sri Lanka,Asia,8201505.0,6.05,53.25
369,1951,Sudan,Africa,5883670.0,6.67,44.44
370,1951,Suriname,South America,222679.0,6.57,55.52
371,1951,Swaziland,Africa,278952.0,6.71,41.01
372,1951,Sweden,Europe,7072080.0,2.21,71.35
373,1951,Switzerland,Europe,4726283.0,2.32,68.72
374,1951,Syria,Asia,3500650.0,7.19,47.87
376,1951,Tajikistan,Asia,1576454.0,5.91,52.94
377,1951,Tanzania,Africa,7847303.0,6.71,41.66
378,1951,Thailand,Asia,21263203.0,6.13,51.14
380,1951,Togo,Africa,1425482.0,6.33,34.69
381,1951,Tonga,Australia and Oceania,49311.0,7.32,58.0
382,1951,Trinidad and Tobago,North America,658830.0,5.28,57.36
383,1951,Tunisia,Africa,3696457.0,6.74,39.03
384,1951,Turkey,Asia,21806355.0,6.66,41.2
385,1951,Turkmenistan,Asia,1228378.0,6.14,50.89
386,1951,Uganda,Africa,5308673.0,6.89,39.94
387,1951,Ukraine,Europe,37815815.0,2.75,62.2
388,1951,United Arab Emirates,Asia,67972.0,6.95,41.83
389,1951,United Kingdom,Europe,50620538.0,2.1,68.26
390,1951,United States,North America,159880756.0,3.2,68.22
391,1951,Uruguay,South America,2261342.0,2.7,65.96
392,1951,Uzbekistan,Asia,7104056.0,5.78,55.32
393,1951,Vanuatu,Australia and Oceania,48919.0,7.66,40.79
394,1951,Venezuela,South America,5735168.0,6.51,54.64
397,1951,Vietnam,Asia,25364453.0,5.08,51.98
399,1951,Yemen,Asia,4474025.0,7.27,24.0
400,1951,Zambia,Africa,2376075.0,6.72,43.22
401,1951,Zimbabwe,Africa,2830449.0,6.76,48.75
402,1952,Afghanistan,Asia,7934798.0,7.67,27.67
403,1952,Albania,Europe,1316086.0,6.07,55.23
404,1952,Algeria,Africa,9216395.0,7.65,43.5
405,1952,Angola,Africa,4529381.0,6.98,31.59
406,1952,Antigua and Barbuda,North America,49887.0,4.5,58.8
407,1952,Argentina,South America,17866097.0,3.16,62.54
