team,season,total_GKs,short_GKs,long_GKs,GKs_distnce_std,avg_GK_dist,all_scsfl_GKs,shrt_scsfl_GKs,lng_scsfl_GKs,shortGK_avg_xkick_lft,shortGK_avg_ykick_lft,shortGK_avg_xkick_cntr,shortGK_avg_ykick_cntr,shortGK_avg_xkick_rght,shortGK_avg_ykick_rght,longGK_avg_xkick_lft,longGK_avg_ykick_lft,longGK_avg_xkick_cntr,longGK_avg_ykick_cntr,longGK_avg_xkick_rght,longGK_avg_ykick_rght,ttl_avg_num_passes,ttl_avg_chain_speed,scsfl_prgpass_pcnt,scsfl_prgpass_avg_dist,ttl_prgpass_pcnt,ttl_prgpass_avg_dist,short_avg_num_passes,shrt_all_prgpass_pcnt,shrt_all_prgpass_avg_dist,shrt_scsfl_prgpass_pcnt,shrt_scsfl_prgpass_avg_dist,long_avg_num_passes,long_all_prgpass_pcnt,long_all_prgpass_avg_dist,long_scsfl_prgpass_pcnt,long_scsfl_prgpass_avg_dist,short_end_shot,short_end_goal,short_avg_xg,long_end_shot,long_end_goal,long_avg_xg,short_avg_x_prog,fllw_shrt_x_rtrn,fllw_shrt_shots_rtrn,fllw_shrt_goals_rtrn,fllw_shrt_avg_xg_rtrn,long_avg_x_prog,fllw_long_x_rtrn,fllw_long_shots_rtrn,fllw_long_goals_rtrn,fllw_long_avg_xg_rtrn
Manchester City WFC,2018/19,155,77,78,20.868,33.25,113,76,37,17.3,35.8,14.53,42.42,14.42,45.42,53.43,51.43,47.73,54.03,53.05,53.32,5.6258,4.4403,15.63,33.77,26.73,5.32,6.831,18.44,33.72,11.61,31.23,3.09,27.89,36.99,27.89,36.99,5,0,0.1125,7,3,0.2608,72.77,48.262,17,0,0.0845,68.53,54.751,19,0,0.1113
Chelsea FCW,2018/19,114,46,68,20.577,35.94,87,45,42,15.8,34.5,19.31,34.81,15.5,52.6,45.4,25.85,48.62,42.11,55.45,53.45,5.5877,3.9896,15.06,32.34,26.13,5.46,6.239,15.68,35.21,7.44,31.24,4.221,24.14,32.75,24.14,32.75,5,0,0.049,6,1,0.131,77.02,57.659,7,0,0.1356,74.44,44.858,8,2,0.0755
Arsenal WFC,2018/19,121,63,58,18.184,30.21,97,62,35,14.26,46.3,16.21,42.36,16.0,49.15,47.71,34.24,48.19,50.48,40.86,56.5,5.8843,4.0809,14.14,28.21,22.69,6.88,6.27,17.47,31.19,10.78,24.0,4.207,20.83,32.55,20.83,32.55,7,2,0.0401,4,0,0.0843,75.06,42.635,5,1,0.1137,69.64,43.526,10,2,0.089
Liverpool WFC,2018/19,177,25,152,16.739,49.65,85,25,60,13.71,20.43,17.43,34.0,16.91,50.36,56.19,21.94,54.21,45.92,56.09,63.74,3.8136,7.4875,26.96,37.45,41.94,8.01,5.12,20.31,33.94,16.19,31.93,2.75,32.24,38.81,32.24,38.81,2,0,0.0761,1,0,0.0605,67.32,36.625,4,1,0.0239,65.96,41.527,13,0,0.0507
Brighton & Hove Albion WFC,2018/19,184,82,102,21.587,34.78,116,79,37,12.0,18.2,14.18,40.55,14.28,52.1,53.24,24.93,52.22,42.28,50.11,50.3,3.8587,5.6966,13.15,35.8,29.46,5.66,4.402,14.68,37.95,6.5,31.37,2.451,27.78,38.08,27.78,38.08,5,0,0.041,4,0,0.0486,59.22,41.852,10,0,0.1159,63.8,38.945,11,2,0.1017
Bristol City WFC,2018/19,254,44,210,18.925,53.58,107,44,63,17.67,40.0,21.2,45.5,17.62,49.94,58.12,27.98,63.87,44.01,58.97,52.12,3.2559,7.1912,24.4,40.39,47.75,11.04,4.614,27.09,38.47,11.69,35.19,2.314,33.33,41.68,33.33,41.68,3,1,0.1816,3,0,0.0743,78.23,42.465,4,1,0.1241,71.49,39.079,24,2,0.092
Reading WFC,2018/19,188,95,93,20.514,37.27,134,95,39,18.36,31.8,19.89,41.57,16.97,48.69,53.08,27.67,59.62,35.79,55.3,56.43,5.2287,4.9406,16.06,37.31,30.59,7.13,5.789,20.91,34.53,10.45,34.57,3.226,31.1,39.79,31.1,39.79,8,3,0.0764,3,0,0.1163,80.17,44.679,7,2,0.0772,72.45,43.936,14,2,0.147
Yeovil Town LFC,2018/19,256,3,253,9.286,55.34,112,3,109,6.0,11.0,11.0,8.5,,,53.53,18.99,56.79,35.94,56.78,53.16,3.1133,10.0871,43.65,41.6,56.07,20.24,2.667,12.5,45.0,0.0,,2.443,44.37,41.6,44.37,41.6,0,0,,4,0,0.139,44.0,38.667,0,0,,70.33,40.43,63,6,0.0946
Birmingham City WFC,2018/19,126,45,81,24.253,42.93,67,44,23,13.43,25.43,15.0,38.74,13.83,39.75,56.79,26.0,57.97,50.07,61.64,57.43,5.2302,5.0176,12.01,32.94,27.03,3.69,7.089,12.23,38.71,5.2,31.08,3.049,25.18,33.69,25.18,33.69,2,0,0.0127,4,1,0.0551,74.57,39.767,9,1,0.0779,67.44,38.004,14,2,0.1202
Everton LFC,2018/19,183,67,116,19.931,36.05,127,66,61,11.74,23.13,13.23,43.27,12.67,45.06,49.57,19.84,52.68,35.0,46.96,47.86,4.2787,5.8384,22.69,34.15,36.23,11.22,4.791,23.68,37.5,11.65,29.74,2.991,36.1,35.87,36.1,35.87,6,1,0.1932,9,1,0.11,67.06,41.879,14,0,0.0577,72.08,39.273,10,1,0.1341
