team,season,total_GKs,short_GKs,long_GKs,GKs_distnce_std,avg_GK_dist,all_scsfl_GKs,shrt_scsfl_GKs,lng_scsfl_GKs,shortGK_avg_xkick_lft,shortGK_avg_ykick_lft,shortGK_avg_xkick_cntr,shortGK_avg_ykick_cntr,shortGK_avg_xkick_rght,shortGK_avg_ykick_rght,longGK_avg_xkick_lft,longGK_avg_ykick_lft,longGK_avg_xkick_cntr,longGK_avg_ykick_cntr,longGK_avg_xkick_rght,longGK_avg_ykick_rght,ttl_avg_chain_speed,ttl_avg_num_passes,scsfl_prgpass_pcnt,scsfl_prgpass_avg_dist,ttl_prgpass_pcnt,ttl_prgpass_avg_dist,short_avg_num_passes,shrt_all_prgpass_pcnt,shrt_all_prgpass_avg_dist,shrt_scsfl_prgpass_pcnt,shrt_scsfl_prgpass_avg_dist,long_avg_num_passes,long_all_prgpass_pcnt,long_all_prgpass_avg_dist,long_scsfl_prgpass_pcnt,long_scsfl_prgpass_avg_dist,short_end_shot,short_end_goal,short_avg_xg,long_end_shot,long_end_goal,long_avg_xg,short_avg_x_prog,fllw_shrt_x_rtrn,fllw_shrt_shots_rtrn,fllw_shrt_goals_rtrn,fllw_shrt_avg_xg_rtrn,long_avg_x_prog,fllw_long_x_rtrn,fllw_long_shots_rtrn,fllw_long_goals_rtrn,fllw_long_avg_xg_rtrn
Bristol City WFC,2019/20,206,58,148,21.336,45.73,116,58,58,14.43,32.7,,,14.56,46.44,58.65,22.79,,,57.32,54.88,6.6038,3.5388,19.19,40.08,36.9,6.74,5.017,0.1581,41.22,0.0542,35.42,2.264,55.22,43.78,40.38,41.04,0,0,,5,1,0.0842,64.87,32.857,14,2,0.1098,68.81,43.297,20,3,0.1292
Brighton & Hove Albion WFC,2019/20,140,68,72,22.061,31.59,104,66,38,11.06,29.62,,,9.05,29.78,52.03,21.27,,,51.48,56.75,6.108,3.6071,19.32,37.27,31.5,10.71,3.721,0.1937,36.64,0.0745,32.21,2.792,46.77,40.28,40.19,38.92,4,0,0.1078,1,0,0.0716,65.25,42.287,8,2,0.1179,62.8,45.835,10,0,0.0406
Manchester City WFC,2019/20,112,59,53,22.782,33.0,85,59,26,13.21,39.2,,,13.59,43.43,52.79,39.51,,,55.16,54.11,4.0176,6.3125,13.58,32.72,24.04,4.66,7.678,0.1567,31.09,0.0874,28.22,3.698,43.37,39.64,27.61,36.85,3,0,0.1576,4,1,0.06,72.03,50.959,8,2,0.0471,74.58,39.275,5,1,0.1092
Manchester United,2019/20,102,42,60,21.895,35.7,67,42,25,12.11,39.0,,,13.4,35.89,51.87,29.29,,,51.79,37.83,5.7932,4.4902,15.13,32.38,27.48,5.6,5.976,0.1554,34.24,0.0829,29.47,2.55,47.06,38.71,32.18,34.25,1,0,0.0391,2,0,0.0794,65.4,44.98,4,1,0.0783,66.15,43.215,5,0,0.0713
Chelsea FCW,2019/20,86,41,45,19.138,32.82,69,41,28,15.55,32.99,,,15.85,44.43,45.61,33.05,,,50.45,50.6,4.482,6.0698,10.97,36.49,22.38,9.24,7.024,0.1597,36.61,0.0729,36.23,4.222,32.11,37.03,17.65,36.69,6,2,0.0955,2,0,0.1268,83.19,52.772,5,0,0.0604,74.8,34.207,5,1,0.035
Tottenham Hotspur Women,2019/20,160,79,81,24.434,32.74,112,79,33,9.07,41.99,,,10.1,43.63,56.01,29.88,,,54.54,40.29,5.1607,4.5187,11.94,38.82,25.38,7.28,5.696,0.1733,35.21,0.0782,34.7,2.617,42.45,45.35,24.39,42.81,3,0,0.0304,6,0,0.0554,70.66,45.154,14,2,0.0912,69.28,40.934,11,2,0.1122
Liverpool WFC,2019/20,146,33,113,19.531,45.85,61,33,28,12.0,33.0,,,11.07,40.56,55.05,16.9,,,57.36,53.04,6.6124,3.6644,19.09,39.12,40.83,9.22,4.606,0.1711,35.34,0.0603,35.78,2.513,53.52,41.58,31.2,39.72,1,0,0.021,7,0,0.0537,69.69,36.585,6,0,0.0344,70.83,41.598,18,1,0.0825
Reading WFC,2019/20,112,62,50,24.384,32.55,76,62,14,12.47,33.77,,,12.1,44.21,56.98,32.18,,,57.99,60.14,4.9856,4.3839,18.39,31.06,34.97,7.56,5.0,0.2581,34.12,0.1434,26.46,2.38,58.82,42.47,36.36,39.11,5,0,0.077,1,1,0.2276,72.39,42.423,7,4,0.2792,73.2,40.351,7,0,0.0348
Birmingham City WFC,2019/20,115,54,61,25.904,36.03,82,54,28,12.46,36.2,,,11.82,48.78,56.56,29.64,,,58.12,49.34,3.8747,4.0609,11.29,36.02,24.64,4.81,4.574,0.1579,33.53,0.0817,26.64,2.803,37.43,46.53,17.65,44.88,6,1,0.0456,4,0,0.0418,63.86,41.665,4,1,0.0819,65.34,42.034,10,2,0.148
Everton LFC,2019/20,157,92,65,20.688,26.18,119,90,29,9.98,29.06,,,10.38,49.24,47.61,21.96,,,51.05,58.52,5.0485,4.5223,11.75,32.45,23.89,7.79,4.88,0.1648,33.79,0.0815,28.46,2.754,42.46,38.73,25.0,37.25,7,1,0.0487,2,1,0.0772,66.76,46.79,19,0,0.0702,68.64,43.094,8,0,0.0696
