season,Pos,team,Pts,short_avg_x_prog,fllw_shrt_x_rtrn,long_avg_x_prog,fllw_long_x_rtrn
2018/19,1,Arsenal WFC,54,75.06,42.635,69.64,43.526
2018/19,2,Manchester City WFC,47,72.77,48.262,68.53,54.751
2018/19,3,Chelsea FCW,42,77.02,57.659,74.44,44.858
2018/19,4,Birmingham City WFC,40,74.57,39.767,67.44,38.004
2018/19,5,Reading WFC,27,80.17,44.679,72.45,43.936
2018/19,6,Bristol City WFC,25,78.23,42.465,71.49,39.079
2018/19,7,West Ham United LFC,23,69.0,43.568,72.53,47.779
2018/19,8,Liverpool WFC,22,67.32,36.625,65.96,41.527
2018/19,9,Brighton & Hove Albion WFC,16,59.22,41.852,63.8,38.945
2018/19,10,Everton LFC,12,67.06,41.879,72.08,39.273
2018/19,11,Yeovil Town LFC,−3,44.0,38.667,70.33,40.43
2019/20,1,Chelsea FCW,39,83.19,52.772,74.8,34.207
2019/20,2,Manchester City WFC,40,72.03,50.959,74.58,39.275
2019/20,3,Arsenal WFC,36,69.37,48.197,64.73,55.226
2019/20,4,Manchester United,23,65.4,44.98,66.15,43.215
2019/20,5,Reading WFC,21,72.39,42.423,73.2,40.351
2019/20,6,Everton LFC,19,66.76,46.79,68.64,43.094
2019/20,7,Tottenham Hotspur Women,20,70.66,45.154,69.28,40.934
2019/20,8,West Ham United LFC,16,66.82,45.416,71.57,40.333
2019/20,9,Brighton & Hove Albion WFC,13,65.25,42.287,62.8,45.835
2019/20,10,Bristol City WFC,9,64.87,32.857,68.81,43.297
2019/20,11,Birmingham City WFC,7,63.86,41.665,65.34,42.034
2019/20,12,Liverpool WFC,6,69.69,36.585,70.83,41.598
2020/21,1,Chelsea FCW,57,71.8,47.684,80.05,48.864
2020/21,2,Manchester City WFC,55,74.23,47.698,81.17,53.921
2020/21,3,Arsenal WFC,48,65.1,48.208,64.71,45.473
2020/21,4,Manchester United,47,69.28,47.047,71.71,45.774
2020/21,5,Everton LFC,32,70.5,46.154,74.28,44.267
2020/21,6,Brighton & Hove Albion WFC,27,65.27,48.711,71.17,44.029
2020/21,7,Reading WFC,24,72.97,38.231,69.84,38.025
2020/21,8,Tottenham Hotspur Women,20,62.96,42.155,69.48,49.501
2020/21,9,West Ham United LFC,15,61.59,36.214,67.62,42.924
2020/21,10,Aston Villa,15,64.63,45.666,62.07,42.174
2020/21,11,Birmingham City WFC,14,65.93,41.988,72.35,42.274
2020/21,12,Bristol City WFC,12,66.48,45.647,69.22,43.74
