Pos,team,Pld,W,D,L,GF,GA,GD,Pts,season,total_GKs,short_GKs,short_GK_pc,long_GKs,long_GK_pc,GKs_distnce_std
1,Arsenal WFC,20,18,0,2,70,13,57,54,2018/19,121,63,52.07,58,47.93,18.184
2,Manchester City WFC,20,14,5,1,53,17,36,47,2018/19,155,77,49.68,78,50.32,20.868
3,Chelsea FCW,20,12,6,2,46,14,32,42,2018/19,114,46,40.35,68,59.65,20.577
4,Birmingham City WFC,20,13,1,6,29,17,12,40,2018/19,126,45,35.71,81,64.29,24.253
5,Reading WFC,20,8,3,9,33,30,3,27,2018/19,188,95,50.53,93,49.47,20.514
6,Bristol City WFC,20,7,4,9,17,34,−17,25,2018/19,254,44,17.32,210,82.68,18.925
7,West Ham United LFC,20,7,2,11,25,37,−12,23,2018/19,166,45,27.11,121,72.89,24.626
8,Liverpool WFC,20,7,1,12,21,38,−17,22,2018/19,177,25,14.12,152,85.88,16.739
9,Brighton & Hove Albion WFC,20,4,4,12,16,38,−22,16,2018/19,184,82,44.57,102,55.43,21.587
10,Everton LFC,20,3,3,14,15,38,−23,12,2018/19,183,67,36.61,116,63.39,19.931
11,Yeovil Town LFC,20,2,1,17,11,60,−49,−3,2018/19,256,3,1.17,253,98.83,9.286
