Pos,team,Pld,W,D,L,GF,GA,GD,Pts,season,total_GKs,short_GKs,short_GK_pc,long_GKs,long_GK_pc,GKs_distnce_std
1,Arsenal WFC,20,18,0,2,70,13,57,54,2018/19,121,63,52.07,58,47.93,18.184
2,Manchester City WFC,20,14,5,1,53,17,36,47,2018/19,155,77,49.68,78,50.32,20.868
3,Chelsea FCW,20,12,6,2,46,14,32,42,2018/19,114,46,40.35,68,59.65,20.577
4,Birmingham City WFC,20,13,1,6,29,17,12,40,2018/19,126,45,35.71,81,64.29,24.253
5,Reading WFC,20,8,3,9,33,30,3,27,2018/19,188,95,50.53,93,49.47,20.514
6,Bristol City WFC,20,7,4,9,17,34,−17,25,2018/19,254,44,17.32,210,82.68,18.925
7,West Ham United LFC,20,7,2,11,25,37,−12,23,2018/19,166,45,27.11,121,72.89,24.626
8,Liverpool WFC,20,7,1,12,21,38,−17,22,2018/19,177,25,14.12,152,85.88,16.739
9,Brighton & Hove Albion WFC,20,4,4,12,16,38,−22,16,2018/19,184,82,44.57,102,55.43,21.587
10,Everton LFC,20,3,3,14,15,38,−23,12,2018/19,183,67,36.61,116,63.39,19.931
11,Yeovil Town LFC,20,2,1,17,11,60,−49,−3,2018/19,256,3,1.17,253,98.83,9.286
1,Chelsea FCW,15,12,3,0,47,11,36,39,2019/20,86,41,47.67,45,52.33,19.138
2,Manchester City WFC,16,13,1,2,39,9,30,40,2019/20,112,59,52.68,53,47.32,22.782
3,Arsenal WFC,15,12,0,3,40,13,27,36,2019/20,117,69,58.97,48,41.03,21.009
4,Manchester United,14,7,2,5,24,12,12,23,2019/20,102,42,41.18,60,58.82,21.895
5,Reading WFC,14,6,3,5,21,24,−3,21,2019/20,112,62,55.36,50,44.64,24.384
6,Everton LFC,14,6,1,7,21,21,0,19,2019/20,157,92,58.6,65,41.4,20.688
7,Tottenham Hotspur Women,15,6,2,7,15,24,−9,20,2019/20,160,79,49.38,81,50.62,24.434
8,West Ham United LFC,14,5,1,8,19,34,−15,16,2019/20,142,50,35.21,92,64.79,25.606
9,Brighton & Hove Albion WFC,16,3,4,9,11,30,−19,13,2019/20,140,68,48.57,72,51.43,22.061
10,Bristol City WFC,14,2,3,9,9,38,−29,9,2019/20,206,58,28.16,148,71.84,21.336
11,Birmingham City WFC,13,2,1,10,5,23,−18,7,2019/20,115,54,46.96,61,53.04,25.904
12,Liverpool WFC,14,1,3,10,8,20,−12,6,2019/20,146,33,22.6,113,77.4,19.531
1,Chelsea FCW,22,18,3,1,69,10,59,57,2020/21,121,63,52.07,58,47.93,23.698
2,Manchester City WFC,22,17,4,1,65,13,52,55,2020/21,111,91,81.98,20,18.02,18.407
3,Arsenal WFC,22,15,3,4,63,15,48,48,2020/21,150,96,64.0,54,36.0,17.785
4,Manchester United,22,15,2,5,44,20,24,47,2020/21,144,78,54.17,66,45.83,23.443
5,Everton LFC,22,9,5,8,39,30,9,32,2020/21,175,126,72.0,49,28.0,22.733
6,Brighton & Hove Albion WFC,22,8,3,11,21,41,−20,27,2020/21,220,96,43.64,124,56.36,21.526
7,Reading WFC,22,5,9,8,25,41,−16,24,2020/21,199,128,64.32,71,35.68,22.046
8,Tottenham Hotspur Women,22,5,5,12,18,41,−23,20,2020/21,209,115,55.02,94,44.98,21.638
9,West Ham United LFC,22,3,6,13,21,39,−18,15,2020/21,188,52,27.66,136,72.34,21.818
10,Aston Villa,22,3,6,13,15,47,−32,15,2020/21,250,77,30.8,173,69.2,20.138
11,Birmingham City WFC,22,3,6,13,15,44,−29,14,2020/21,267,68,25.47,199,74.53,26.656
12,Bristol City WFC,22,2,6,14,18,72,−54,12,2020/21,266,58,21.8,208,78.2,20.771
