Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Chelsea FCW,22,18,3,1,69,10,59,57
2,Manchester City WFC,22,17,4,1,65,13,52,55
3,Arsenal WFC,22,15,3,4,63,15,48,48
4,Manchester United,22,15,2,5,44,20,24,47
5,Everton LFC,22,9,5,8,39,30,9,32
6,Brighton & Hove Albion WFC,22,8,3,11,21,41,−20,27
7,Reading WFC,22,5,9,8,25,41,−16,24
8,Tottenham Hotspur Women,22,5,5,12,18,41,−23,20
9,West Ham United LFC,22,3,6,13,21,39,−18,15
10,Aston Villa,22,3,6,13,15,47,−32,15
11,Birmingham City WFC,22,3,6,13,15,44,−29,14
12,Bristol City WFC,22,2,6,14,18,72,−54,12
