season,Pos,team,GF,GA,Pts,short_end_shot,short_shot_pc,long_end_shot,long_shot_pc,short_end_goal,short_goal_pc,long_end_goal,long_goal_pc,short_avg_xg,long_avg_xg,fllw_shrt_shots_rtrn,fllw_shrt_shots_pc,fllw_long_shots_rtrn,fllw_long_shots_pc,fllw_shrt_goals_rtrn,fllw_shrt_goals_pc,fllw_long_goals_rtrn,fllw_long_goals_pc,fllw_long_avg_xg_rtrn,fllw_shrt_avg_xg_rtrn
2020/21,1,Chelsea FCW,69,10,57,2,3.17,4,6.9,0,0.0,1,1.72,0.1155,0.224,6,9.52,9,15.52,0,0.0,2,3.45,0.058,0.1222
2020/21,2,Manchester City WFC,65,13,55,10,10.99,0,0.0,4,4.4,0,0.0,0.1562,,12,13.19,4,20.0,1,1.1,1,5.0,0.2253,0.1337
2020/21,3,Arsenal WFC,63,15,48,8,8.33,5,9.26,1,1.04,2,3.7,0.1308,0.3188,12,12.5,8,14.81,0,0.0,0,0.0,0.0733,0.1269
2020/21,4,Manchester United,44,20,47,8,10.26,3,4.55,1,1.28,0,0.0,0.0587,0.1374,12,15.38,8,12.12,0,0.0,1,1.52,0.1143,0.0725
2020/21,5,Everton LFC,39,30,32,7,5.56,2,4.08,2,1.59,0,0.0,0.2001,0.0243,15,11.9,6,12.24,5,3.97,1,2.04,0.1144,0.1667
2020/21,6,Brighton & Hove Albion WFC,21,41,27,5,5.21,6,4.84,0,0.0,0,0.0,0.0882,0.0433,19,19.79,14,11.29,3,3.12,1,0.81,0.0927,0.0844
2020/21,7,Reading WFC,25,41,24,12,9.38,1,1.41,1,0.78,0,0.0,0.1778,0.0147,22,17.19,15,21.13,4,3.12,3,4.23,0.1563,0.1551
2020/21,8,Tottenham Hotspur Women,18,41,20,6,5.22,3,3.19,0,0.0,0,0.0,0.1246,0.0544,22,19.13,14,14.89,2,1.74,1,1.06,0.1441,0.1321
2020/21,9,West Ham United LFC,21,39,15,0,0.0,3,2.21,0,0.0,0,0.0,,0.1645,8,15.38,11,8.09,2,3.85,1,0.74,0.1129,0.3183
2020/21,10,Aston Villa,15,47,15,4,5.19,4,2.31,2,2.6,0,0.0,0.2612,0.1053,16,20.78,21,12.14,0,0.0,1,0.58,0.1005,0.073
2020/21,11,Birmingham City WFC,15,44,14,1,1.47,2,1.01,0,0.0,0,0.0,0.0429,0.2324,8,11.76,35,17.59,0,0.0,3,1.51,0.0972,0.0405
2020/21,12,Bristol City WFC,18,72,12,1,1.72,5,2.4,0,0.0,1,0.48,0.0153,0.0623,12,20.69,38,18.27,1,1.72,8,3.85,0.1265,0.0802
