season,Pos,team,GF,GA,Pts,short_end_shot,short_shot_pc,long_end_shot,long_shot_pc,short_end_goal,short_goal_pc,long_end_goal,long_goal_pc,short_avg_xg,long_avg_xg,fllw_shrt_shots_rtrn,fllw_shrt_shots_pc,fllw_long_shots_rtrn,fllw_long_shots_pc,fllw_shrt_goals_rtrn,fllw_shrt_goals_pc,fllw_long_goals_rtrn,fllw_long_goals_pc,fllw_long_avg_xg_rtrn,fllw_shrt_avg_xg_rtrn
2018/19,1,Arsenal WFC,70,13,54,7,11.11,4,6.9,2,3.17,0,0.0,0.0401,0.0843,5,7.94,10,17.24,1,1.59,2,3.45,0.089,0.1137
2018/19,2,Manchester City WFC,53,17,47,5,6.49,7,8.97,0,0.0,3,3.85,0.1125,0.2608,17,22.08,19,24.36,0,0.0,0,0.0,0.1113,0.0845
2018/19,3,Chelsea FCW,46,14,42,5,10.87,6,8.82,0,0.0,1,1.47,0.049,0.131,7,15.22,8,11.76,0,0.0,2,2.94,0.0755,0.1356
2018/19,4,Birmingham City WFC,29,17,40,2,4.44,4,4.94,0,0.0,1,1.23,0.0127,0.0551,9,20.0,14,17.28,1,2.22,2,2.47,0.1202,0.0779
2018/19,5,Reading WFC,33,30,27,8,8.42,3,3.23,3,3.16,0,0.0,0.0764,0.1163,7,7.37,14,15.05,2,2.11,2,2.15,0.147,0.0772
2018/19,6,Bristol City WFC,17,34,25,3,6.82,3,1.43,1,2.27,0,0.0,0.1816,0.0743,4,9.09,24,11.43,1,2.27,2,0.95,0.092,0.1241
2018/19,7,West Ham United LFC,25,37,23,4,8.89,6,4.96,1,2.22,1,0.83,0.1177,0.1005,7,15.56,21,17.36,1,2.22,3,2.48,0.1426,0.1281
2018/19,8,Liverpool WFC,21,38,22,2,8.0,1,0.66,0,0.0,0,0.0,0.0761,0.0605,4,16.0,13,8.55,1,4.0,0,0.0,0.0507,0.0239
2018/19,9,Brighton & Hove Albion WFC,16,38,16,5,6.1,4,3.92,0,0.0,0,0.0,0.041,0.0486,10,12.2,11,10.78,0,0.0,2,1.96,0.1017,0.1159
2018/19,10,Everton LFC,15,38,12,6,8.96,9,7.76,1,1.49,1,0.86,0.1932,0.11,14,20.9,10,8.62,0,0.0,1,0.86,0.1341,0.0577
2018/19,11,Yeovil Town LFC,11,60,−3,0,0.0,4,1.58,0,0.0,0,0.0,,0.139,0,0.0,63,24.9,0,0.0,6,2.37,0.0946,
2019/20,1,Chelsea FCW,47,11,39,6,14.63,2,4.44,2,4.88,0,0.0,0.0955,0.1268,5,12.2,5,11.11,0,0.0,1,2.22,0.035,0.0604
2019/20,2,Manchester City WFC,39,9,40,3,5.08,4,7.55,0,0.0,1,1.89,0.1576,0.06,8,13.56,5,9.43,2,3.39,1,1.89,0.1092,0.0471
