Standard,,,,,,,,,,,,Expected,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,"xG
▼",npxG,npxG/Sh,G-xG,np:G-xG
1,Robert Lewandowski,pl POL,FW,Barcelona,33,1988,31.6,23,134,56,41.8,4.24,1.77,0.17,0.41,13.8,5,0,1,24.3,23.5,0.18,-1.3,-0.5
2,Karim Benzema,fr FRA,FW,Real Madrid,34,1987,22.6,19,99,36,36.4,4.37,1.59,0.12,0.33,15.9,6,7,8,21.5,14.9,0.15,-2.5,-2.9
3,Borja Iglesias,es ESP,FW,Betis,29,1993,26.3,15,58,21,36.2,2.21,0.8,0.17,0.48,15.2,0,5,6,14.9,10.2,0.18,0.1,-0.2
4,Joselu,es ESP,FW,Espanyol,32,1990,33.2,16,87,33,37.9,2.62,0.99,0.13,0.33,16.1,2,5,5,14.5,10.5,0.12,1.5,0.5
5,Rodrygo,br BRA,"FW,MF",Real Madrid,21,2001,26.4,9,97,31,32,3.67,1.17,0.08,0.26,16.6,8,1,1,13.7,12.9,0.13,-4.7,-4.9
6,Alexander Sørloth,no NOR,FW,Real Sociedad,26,1995,26.5,12,63,27,42.9,2.38,1.02,0.19,0.44,11.3,0,0,0,12.7,12.7,0.2,-0.7,-0.7
7,Vedat Muriqi,xk KVX,FW,Mallorca,28,1994,32.6,15,71,25,35.2,2.18,0.77,0.15,0.44,15.3,0,4,5,12.5,8.6,0.12,2.5,2.4
8,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,31,1991,31.8,15,111,44,39.6,3.49,1.39,0.14,0.34,17.6,5,0,0,12.3,12.3,0.11,2.7,2.7
9,Álvaro Morata,es ESP,FW,Atlético Madrid,29,1992,21.1,13,71,32,45.1,3.36,1.52,0.18,0.41,12.2,0,0,0,11.8,11.8,0.17,1.2,1.2
10,Enes Ünal,tr TUR,FW,Getafe,25,1997,33,14,82,31,37.8,2.48,0.94,0.11,0.29,18.8,16,5,6,11.7,7.1,0.09,2.3,1.9
11,Iago Aspas,es ESP,FW,Celta Vigo,34,1987,31.9,12,75,29,38.7,2.35,0.91,0.13,0.34,19.5,7,2,3,11.1,8.7,0.12,0.9,1.3
12,Valentín Castellanos,ar ARG,FW,Girona,23,1998,28.9,13,85,32,37.6,2.95,1.11,0.14,0.38,15,0,1,1,11,10.2,0.12,2,1.8
13,Iñaki Williams,gh GHA,FW,Athletic Club,28,1994,31.5,10,83,32,38.6,2.63,1.02,0.11,0.28,15.1,0,1,2,10.7,9.1,0.11,-0.7,-0.1
14,Vinicius Júnior,br BRA,FW,Real Madrid,22,2000,31.4,10,77,36,46.8,2.45,1.15,0.13,0.28,16.2,0,0,0,10.5,10.5,0.14,-0.5,-0.5
15,Cristhian Stuani,uy URU,FW,Girona,35,1986,12.1,9,29,15,51.7,2.39,1.24,0.14,0.27,13,0,5,6,9.7,5,0.17,-0.7,-1
16,Raphinha,br BRA,FW,Barcelona,25,1996,23,7,79,25,31.6,3.43,1.09,0.09,0.28,18.5,11,0,0,9.3,9.3,0.12,-2.3,-2.3
17,Martin Braithwaite,dk DEN,"FW,MF",Espanyol,31,1991,27.3,10,58,25,43.1,2.13,0.92,0.17,0.4,16,4,0,0,9.2,9.2,0.16,0.8,0.8
18,Ansu Fati,es ESP,FW,Barcelona,19,2002,15.5,7,61,18,29.5,3.94,1.16,0.11,0.39,15,3,0,0,9.1,9.1,0.16,-2.1,-2.1
