Standard,,,,,,,,,,,,Expected,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,"xG
▼",npxG,npxG/Sh,G-xG,np:G-xG
1,Folarin Balogun,us USA,FW,Reims,21,2001,33.3,21,121,50,41.3,3.63,1.5,0.12,0.3,15.2,2,6,7,26.6,21,0.18,-5.6,-6
2,Kylian Mbappé,fr FRA,FW,Paris S-G,23,1998,31.3,29,144,73,50.7,4.6,2.33,0.18,0.36,15.9,1,3,5,26.3,22.2,0.15,2.7,3.8
3,Alexandre Lacazette,fr FRA,FW,Lyon,31,1991,32.5,27,107,47,43.9,3.29,1.44,0.2,0.45,14.4,8,6,8,24.1,17.8,0.17,2.9,3.2
4,Jonathan David,ca CAN,FW,Lille,22,2000,35.2,24,95,44,46.3,2.7,1.25,0.15,0.32,15.8,0,10,11,23.6,15.1,0.16,0.4,-1.1
5,Loïs Openda,be BEL,FW,Lens,22,2000,28,21,103,49,47.6,3.68,1.75,0.19,0.41,13.1,0,1,1,18.4,17.6,0.17,2.6,2.4
6,Habib Diallo,sn SEN,FW,Strasbourg,27,1995,32,20,90,36,40,2.81,1.13,0.19,0.47,13,1,3,4,17.8,14.5,0.17,2.2,2.5
7,Wissam Ben Yedder,fr FRA,FW,Monaco,31,1990,23.5,19,66,36,54.5,2.81,1.53,0.21,0.39,14.2,3,5,6,17.4,12.7,0.19,1.6,1.3
8,Lionel Messi,ar ARG,"FW,MF",Paris S-G,35,1987,31.5,16,129,55,42.6,4.09,1.74,0.12,0.29,18.3,20,0,0,15.5,15.5,0.12,0.5,0.5
9,Alexis Sánchez,cl CHI,"FW,MF",Marseille,33,1988,29.8,14,63,29,46,2.12,0.97,0.19,0.41,15.2,5,2,3,12.6,10.2,0.17,1.4,1.8
10,Elye Wahi,fr FRA,FW,Montpellier,19,2003,27.9,19,62,36,58.1,2.22,1.29,0.29,0.5,14.5,1,1,1,12.2,11.4,0.18,6.8,6.6
11,Gaëtan Laborde,fr FRA,FW,Nice,28,1994,27.8,13,74,39,52.7,2.66,1.4,0.18,0.33,15.7,1,0,1,11.8,11,0.15,1.2,2
12,Grejohn Kyei,fr FRA,FW,Clermont Foot,26,1995,24.8,10,54,19,35.2,2.18,0.77,0.11,0.32,17.5,0,4,6,11.7,7,0.13,-1.7,-1
13,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,22,2000,27.5,10,83,30,36.1,3.02,1.09,0.12,0.33,15.9,0,0,0,11.5,11.5,0.14,-1.5,-1.5
14,Amine Gouiri,fr FRA,"FW,MF",Rennes,22,2000,28,15,74,30,40.5,2.64,1.07,0.2,0.5,13.6,0,0,0,11.1,11.1,0.15,3.9,3.9
15,Mama Samba Baldé,gw GNB,FW,Troyes,26,1995,29.6,12,73,24,32.9,2.47,0.81,0.14,0.42,17.1,0,2,2,10.6,9.1,0.12,1.4,0.9
16,Florian Sotoca,fr FRA,"MF,FW",Lens,31,1990,33.9,7,86,29,33.7,2.53,0.85,0.07,0.21,15.6,0,1,3,10.5,8.1,0.09,-3.5,-2.1
17,Thijs Dallinga,nl NED,FW,Toulouse,21,2000,26.1,12,61,30,49.2,2.33,1.15,0.2,0.4,12.1,0,0,0,9.8,9.8,0.16,2.2,2.2
18,Marshall Munetsi,zw ZIM,MF,Reims,26,1996,30,7,68,23,33.8,2.27,0.77,0.1,0.3,16.1,0,0,0,9.4,9.4,0.14,-2.4,-2.4
19,Ludovic Blas,fr FRA,"MF,FW",Nantes,24,1997,31.3,7,95,32,33.7,3.04,1.02,0.05,0.16,21.5,4,2,4,9.3,6.4,0.07,-2.3,-1.4
20,Seko Fofana,ci CIV,MF,Lens,27,1995,34.1,7,82,22,26.8,2.4,0.64,0.07,0.27,19.9,0,1,2,9.3,7.7,0.09,-2.3,-1.7
21,Benjamin Bourigeaud,fr FRA,"MF,FW",Rennes,28,1994,34.1,7,71,19,26.8,2.08,0.56,0.07,0.26,20,10,2,2,8.7,7.1,0.1,-1.7,-2.1
22,Téji Savanier,fr FRA,MF,Montpellier,30,1991,28.3,12,58,24,41.4,2.05,0.85,0.1,0.25,27,19,6,6,8.6,3.8,0.07,3.4,2.2
23,Breel Embolo,ch SUI,FW,Monaco,25,1997,20.7,12,40,20,50,1.94,0.97,0.3,0.6,10.9,0,0,1,8.5,7.6,0.19,3.5,4.4
24,Jérémy Le Douaron,fr FRA,"MF,FW",Brest,24,1998,23,10,55,23,41.8,2.39,1,0.18,0.43,11.1,0,0,0,8.4,8.4,0.16,1.6,1.6
25,Rémy Cabella,fr FRA,"MF,FW",Lille,32,1990,28.1,7,42,23,54.8,1.5,0.82,0.17,0.3,14.1,8,0,0,8.3,8.3,0.2,-1.3,-1.3
26,Terem Moffi,ng NGA,FW,Nice,23,1999,14.8,6,44,18,40.9,2.98,1.22,0.14,0.33,14.9,0,0,0,8.3,8.3,0.19,-2.3,-2.3
27,Cengiz Ünder,tr TUR,"MF,DF",Marseille,25,1997,27.7,5,70,23,32.9,2.53,0.83,0.06,0.17,17.1,2,1,1,8.3,7.5,0.11,-3.3,-3.5
28,Jonathan Bamba,ci CIV,FW,Lille,26,1996,30.9,6,71,28,39.4,2.3,0.91,0.08,0.21,15.5,0,0,0,8.2,8.2,0.12,-2.2,-2.2
29,Neymar,br BRA,"MF,FW",Paris S-G,30,1992,17.2,13,36,18,50,2.1,1.05,0.31,0.61,16.8,6,2,2,8.1,6.5,0.18,4.9,4.5
30,Nicolas Pépé,ci CIV,"FW,MF",Nice,27,1995,16.6,6,46,17,37,2.77,1.02,0.07,0.18,17.6,2,3,3,8.1,5.8,0.13,-2.1,-2.8
31,Kévin Gameiro,fr FRA,FW,Strasbourg,35,1987,23.3,10,44,22,50,1.89,0.94,0.2,0.41,13,0,1,2,8,6.3,0.14,2,2.7
32,Arnaud Kalimuendo,fr FRA,FW,Rennes,20,2002,20.5,7,43,21,48.8,2.09,1.02,0.16,0.33,14,0,0,0,7.5,7.5,0.18,-0.5,-0.5
33,Terem Moffi,ng NGA,FW,Lorient,23,1999,15.4,12,33,18,54.5,2.14,1.17,0.33,0.61,13.6,0,1,2,7.3,5.7,0.17,4.7,5.3
34,Mostafa Mohamed,eg EGY,FW,Nantes,24,1997,21.5,8,58,24,41.4,2.69,1.11,0.14,0.33,14.2,0,0,0,7.3,7.3,0.13,0.7,0.7
35,Steve Mounié,bj BEN,FW,Brest,27,1994,18.4,6,58,19,32.8,3.15,1.03,0.09,0.26,14.9,0,1,1,7.3,6.5,0.12,-1.3,-1.5
36,Mounaim El Idrissy,fr FRA,FW,Ajaccio,23,1999,27.7,6,50,19,38,1.8,0.68,0.12,0.32,14.6,0,0,0,7.2,7.2,0.14,-1.2,-1.2
37,M'Baye Niang,sn SEN,FW,Auxerre,27,1994,16.5,6,36,12,33.3,2.19,0.73,0.08,0.25,13.5,0,3,3,7.2,4.9,0.14,-1.2,-1.9
38,Adrien Hunou,fr FRA,"MF,FW",Angers,28,1994,24.8,4,45,18,40,1.81,0.73,0.09,0.22,13.2,0,0,0,6.5,6.5,0.14,-2.5,-2.5
39,Arnaud Nordin,fr FRA,FW,Montpellier,24,1998,26.7,9,59,24,40.7,2.21,0.9,0.15,0.38,16.1,0,0,0,6.5,6.5,0.11,2.5,2.5
40,Youcef Belaïli,dz ALG,"MF,FW",Ajaccio,30,1992,12.8,6,27,9,33.3,2.11,0.7,0.04,0.11,24.8,4,5,6,6.2,1.8,0.07,-0.2,-0.8
41,Romain Del Castillo,fr FRA,"MF,FW",Brest,26,1996,15.8,6,31,11,35.5,1.96,0.7,0.03,0.09,20.7,3,5,5,6.2,2.3,0.07,-0.2,-1.3
42,Muhammed Cham,at AUT,MF,Clermont Foot,21,2000,21.9,7,51,19,37.3,2.33,0.87,0.1,0.26,20.6,7,2,2,6,4.4,0.09,1,0.6
43,Branco van den Boomen,nl NED,MF,Toulouse,27,1995,32.1,5,48,20,41.7,1.5,0.62,0.02,0.05,25.1,16,4,4,6,2.9,0.06,-1,-1.9
44,Fares Chaïbi,dz ALG,"FW,MF",Toulouse,19,2002,26,5,63,25,39.7,2.42,0.96,0.08,0.2,16.8,2,0,0,5.9,5.9,0.09,-0.9,-0.9
45,Junya Ito,jp JPN,FW,Reims,29,1993,32.4,6,42,17,40.5,1.3,0.52,0.14,0.35,15.3,0,0,0,5.7,5.7,0.14,0.3,0.3
46,Ibrahima Koné,ml MLI,FW,Lorient,23,1999,17.5,7,28,13,46.4,1.6,0.74,0.18,0.38,16.1,0,2,3,5.6,3.2,0.12,1.4,1.8
47,Martin Terrier,fr FRA,"FW,MF",Rennes,25,1997,14.7,9,47,27,57.4,3.21,1.84,0.19,0.33,15.2,0,0,0,5.6,5.6,0.12,3.4,3.4
48,Komnen Andrić,rs SRB,FW,Clermont Foot,27,1995,16.1,4,28,11,39.3,1.74,0.68,0.11,0.27,14.4,0,1,2,5.5,3.9,0.14,-1.5,-0.9
49,Andy Delort,dz ALG,FW,Nice,30,1991,8.7,6,23,8,34.8,2.65,0.92,0.13,0.38,16.4,1,3,3,5.4,3,0.13,0.6,0
50,Aleksandr Golovin,ru RUS,"MF,FW",Monaco,26,1996,27.4,8,49,25,51,1.79,0.91,0.16,0.32,19,2,0,0,5.3,5.3,0.11,2.7,2.7
51,Dango Ouattara,bf BFA,"FW,MF",Lorient,20,2002,17.2,6,52,17,32.7,3.02,0.99,0.12,0.35,16.6,4,0,0,5.2,5.2,0.1,0.8,0.8
52,Saîf-Eddine Khaoui,tn TUN,MF,Clermont Foot,27,1995,22.5,7,47,22,46.8,2.09,0.98,0.15,0.32,21.5,6,0,0,5.1,5.1,0.11,1.9,1.9
53,Rafael Ratão,br BRA,"FW,MF",Toulouse,26,1995,20.6,5,31,11,35.5,1.51,0.53,0.16,0.45,12.4,0,0,0,5.1,5.1,0.17,-0.1,-0.1
54,Rayan Cherki,fr FRA,"MF,FW",Lyon,18,2003,20.8,4,61,21,34.4,2.93,1.01,0.07,0.19,18.7,3,0,0,4.9,4.9,0.08,-0.9,-0.9
55,Bamba Dieng,sn SEN,FW,Lorient,22,2000,8.3,3,21,7,33.3,2.53,0.84,0.1,0.29,16,0,1,1,4.9,4.1,0.23,-1.9,-2.1
56,Rony Lopes,pt POR,"MF,FW",Troyes,26,1995,26.1,7,57,20,35.1,2.19,0.77,0.12,0.35,19.3,5,0,0,4.9,4.9,0.09,2.1,2.1
57,Franck Honorat,fr FRA,"FW,MF",Brest,25,1996,28.2,6,47,17,36.2,1.67,0.6,0.13,0.35,18.1,4,0,0,4.8,4.8,0.1,1.2,1.2
58,Abdallah Sima,sn SEN,FW,Angers,21,2001,20.4,5,39,10,25.6,1.91,0.49,0.13,0.5,12.7,0,0,0,4.8,4.8,0.12,0.2,0.2
59,Elba Rashani,xk KVX,"MF,FW",Clermont Foot,29,1993,24,3,35,13,37.1,1.46,0.54,0.09,0.23,14.4,0,0,0,4.7,4.7,0.13,-1.7,-1.7
60,Nuno da Costa,cv CPV,"FW,MF",Auxerre,31,1991,22.3,5,39,14,35.9,1.75,0.63,0.13,0.36,15.7,0,0,0,4.6,4.6,0.12,0.4,0.4
61,Krépin Diatta,sn SEN,"MF,FW",Monaco,23,1999,23,4,40,18,45,1.74,0.78,0.1,0.22,15.2,0,0,0,4.6,4.6,0.12,-0.6,-0.6
62,Angel Gomes,eng ENG,MF,Lille,21,2000,31.3,2,55,17,30.9,1.76,0.54,0.02,0.06,23.2,4,1,1,4.6,3.8,0.07,-2.6,-2.8
63,Moses Simon,ng NGA,"FW,MF",Nantes,27,1995,26.1,5,32,9,28.1,1.23,0.35,0.13,0.44,18.3,1,1,1,4.6,3.6,0.11,0.4,0.4
64,Nuno Tavares,pt POR,"DF,MF",Marseille,22,2000,26.1,6,65,17,26.2,2.49,0.65,0.09,0.35,19.4,0,0,0,4.5,4.5,0.07,1.5,1.5
65,Arthur Theate,be BEL,DF,Rennes,22,2000,34.7,4,31,10,32.3,0.89,0.29,0.13,0.4,11.9,0,0,0,4.5,4.5,0.15,-0.5,-0.5
66,Karl Toko Ekambi,cm CMR,"FW,MF",Lyon,29,1992,15,4,41,19,46.3,2.73,1.26,0.1,0.21,14.7,0,0,0,4.4,4.4,0.11,-0.4,-0.4
67,Ross Barkley,eng ENG,"MF,FW",Nice,28,1993,10.7,4,38,17,44.7,3.56,1.59,0.11,0.24,19.7,3,0,0,4.3,4.3,0.11,-0.3,-0.3
68,Stephy Mavididi,eng ENG,FW,Montpellier,24,1998,14.3,4,37,15,40.5,2.59,1.05,0.11,0.27,16.8,0,0,0,4.3,4.3,0.12,-0.3,-0.3
69,Jonathan Clauss,fr FRA,DF,Marseille,29,1992,28.8,2,48,12,25,1.67,0.42,0.04,0.17,17.5,0,0,0,4.2,4.2,0.09,-2.2,-2.2
70,Przemysław Frankowski,pl POL,"DF,MF",Lens,27,1995,31.5,5,28,6,21.4,0.89,0.19,0.07,0.33,22.1,2,3,3,4.2,1.8,0.06,0.8,0.2
71,Tetê,br BRA,"FW,MF",Lyon,22,2000,12.3,6,30,13,43.3,2.44,1.06,0.2,0.46,16.5,1,0,0,4.2,4.2,0.14,1.8,1.8
72,Wahbi Khazri,tn TUN,"FW,MF",Montpellier,31,1991,18.2,4,38,16,42.1,2.09,0.88,0.11,0.25,22.2,0,0,0,4.1,4.1,0.11,-0.1,-0.1
73,Sead Kolašinac,ba BIH,DF,Marseille,29,1993,24.6,4,22,9,40.9,0.89,0.37,0.18,0.44,9.7,0,0,0,4.1,4.1,0.19,-0.1,-0.1
74,Vitinha,pt POR,FW,Marseille,22,2000,5.2,2,25,9,36,4.85,1.75,0.08,0.22,12.6,0,0,0,4,4,0.16,-2,-2
75,Alexis Flips,fr FRA,"FW,MF",Reims,22,2000,22,4,53,20,37.7,2.41,0.91,0.08,0.2,24.1,9,0,0,3.9,3.9,0.07,0.1,0.1
76,Gauthier Hein,fr FRA,"MF,FW",Auxerre,25,1996,20.8,2,38,10,26.3,1.82,0.48,0.05,0.2,19.3,2,0,0,3.9,3.9,0.1,-1.9,-1.9
77,Jordan Veretout,fr FRA,MF,Marseille,29,1993,31.8,4,30,9,30,0.94,0.28,0.1,0.33,20.5,1,1,1,3.9,3.1,0.1,0.1,-0.1
78,Moussa Dembélé,fr FRA,"FW,MF",Lyon,26,1996,9.7,3,28,13,46.4,2.87,1.33,0.11,0.23,13.3,0,0,0,3.8,3.8,0.14,-0.8,-0.8
79,Axel Disasi,fr FRA,DF,Monaco,24,1998,37,3,28,9,32.1,0.76,0.24,0.11,0.33,15.4,0,0,1,3.8,3,0.11,-0.8,0
80,Achraf Hakimi,ma MAR,"DF,MF",Paris S-G,23,1998,22.8,5,18,9,50,0.79,0.39,0.28,0.56,14.9,0,0,0,3.8,3.8,0.21,1.2,1.2
81,Kamory Doumbia,ml MLI,MF,Reims,19,2003,12.8,2,25,9,36,1.95,0.7,0.04,0.11,19.8,0,1,1,3.7,2.9,0.12,-1.7,-1.9
82,Hugo Ekitike,fr FRA,FW,Paris S-G,20,2002,12.8,3,34,12,35.3,2.65,0.94,0.09,0.25,14.8,0,0,0,3.7,3.7,0.11,-0.7,-0.7
83,Ignatius Ganago,cm CMR,"FW,MF",Nantes,23,1999,16.9,5,33,14,42.4,1.95,0.83,0.15,0.36,13,0,0,0,3.7,3.7,0.11,1.3,1.3
84,Matthis Abline,fr FRA,"FW,MF",Auxerre,19,2003,9,2,24,8,33.3,2.68,0.89,0.04,0.13,20.6,0,1,2,3.6,2,0.08,-1.6,-1
85,Sofiane Boufal,ma MAR,"FW,MF",Angers,28,1993,9.3,4,21,9,42.9,2.27,0.97,0.1,0.22,20.8,4,2,2,3.6,2.1,0.1,0.4,-0.1
86,Karl Toko Ekambi,cm CMR,"FW,MF",Rennes,29,1992,10.8,3,22,7,31.8,2.04,0.65,0.14,0.43,13.4,0,0,0,3.6,3.6,0.16,-0.6,-0.6
87,Edon Zhegrova,xk KVX,"FW,MF",Lille,23,1999,11.7,3,42,14,33.3,3.58,1.19,0.07,0.21,18.4,1,0,0,3.6,3.6,0.09,-0.6,-0.6
88,Bradley Barcola,fr FRA,"FW,MF",Lyon,19,2002,16,5,27,13,48.1,1.69,0.81,0.19,0.38,13.6,0,0,0,3.5,3.5,0.13,1.5,1.5
89,Enzo Le Fée,fr FRA,MF,Lorient,22,2000,33.6,5,45,18,40,1.34,0.54,0.11,0.28,23.4,8,0,0,3.5,3.5,0.08,1.5,1.5
90,Renaud Ripart,fr FRA,"FW,MF",Troyes,29,1993,14.7,4,39,14,35.9,2.66,0.95,0.1,0.29,16,0,0,0,3.5,3.5,0.09,0.5,0.5
91,Ludovic Ajorque,fr FRA,FW,Strasbourg,28,1994,8.6,1,22,7,31.8,2.57,0.82,0,0,15.1,1,1,1,3.4,2.6,0.12,-2.4,-2.6
92,Ibrahima Niane,sn SEN,FW,Angers,23,1999,12.6,2,26,11,42.3,2.06,0.87,0.08,0.18,13.7,0,0,0,3.4,3.4,0.13,-1.4,-1.4
93,Mattéo Guendouzi,fr FRA,MF,Marseille,23,1999,23.4,2,24,5,20.8,1.02,0.21,0.04,0.2,16.4,0,1,1,3.3,2.5,0.11,-1.3,-1.5
94,Lovro Majer,hr CRO,"MF,FW",Rennes,24,1998,18.5,2,33,11,33.3,1.78,0.59,0.03,0.09,20.4,5,1,1,3.3,2.5,0.08,-1.3,-1.5
95,Faitout Maouassa,fr FRA,"FW,DF",Montpellier,24,1998,21.4,5,34,12,35.3,1.59,0.56,0.15,0.42,20.1,1,0,0,3.3,3.3,0.1,1.7,1.7
96,Anthony Rouault,fr FRA,DF,Toulouse,21,2001,36.8,2,19,10,52.6,0.52,0.27,0.11,0.2,9,0,0,0,3.3,3.3,0.17,-1.3,-1.3
97,Wesley Saïd,fr FRA,"FW,MF",Lens,27,1995,7.2,5,27,10,37,3.77,1.4,0.19,0.5,14.5,0,0,0,3.3,3.3,0.12,1.7,1.7
98,Nabil Bentaleb,dz ALG,MF,Angers,27,1994,27.7,4,39,13,33.3,1.41,0.47,0.05,0.15,27.5,8,2,2,3.2,1.6,0.04,0.8,0.4
99,Mohamed Lamine Bayo,gn GUI,"FW,MF",Lille,24,1998,7.2,4,22,10,45.5,3.04,1.38,0.18,0.4,10.4,0,0,0,3.2,3.2,0.15,0.8,0.8
100,Lassine Sinayoko,ml MLI,"MF,FW",Auxerre,22,1999,17.4,1,42,13,31,2.41,0.75,0.02,0.08,17.3,0,0,0,3.2,3.2,0.08,-2.2,-2.2
101,Khéphren Thuram,fr FRA,MF,Nice,21,2001,28.3,2,38,9,23.7,1.34,0.32,0.05,0.22,18.4,0,0,0,3.2,3.2,0.08,-1.2,-1.2
102,Neto Borges,br BRA,DF,Clermont Foot,25,1996,31.5,3,23,7,30.4,0.73,0.22,0.13,0.43,14.6,0,0,0,3.1,3.1,0.13,-0.1,-0.1
103,Jubal,br BRA,DF,Auxerre,28,1993,35.7,3,18,5,27.8,0.5,0.14,0.11,0.4,11.6,0,1,1,3.1,2.3,0.13,-0.1,-0.3
104,Chancel Mbemba,cd COD,DF,Marseille,27,1994,31.7,5,27,9,33.3,0.85,0.28,0.19,0.56,11,0,0,0,3.1,3.1,0.11,1.9,1.9
105,Morgan Sanson,fr FRA,MF,Strasbourg,27,1994,15.8,1,32,8,25,2.03,0.51,0.03,0.13,19.7,1,0,0,3.1,3.1,0.1,-2.1,-2.1
106,Alan Virginius,fr FRA,FW,Lille,19,2003,2.9,1,12,5,41.7,4.19,1.74,0.08,0.2,14.4,0,0,0,3.1,3.1,0.26,-2.1,-2.1
107,Romain Hamouma,fr FRA,"FW,MF",Ajaccio,35,1987,12,2,16,6,37.5,1.33,0.5,0.13,0.33,15.3,1,0,0,3,3,0.19,-1,-1
108,Dimitri Payet,fr FRA,"MF,FW",Marseille,35,1987,9.3,4,27,7,25.9,2.91,0.75,0.11,0.43,20.6,1,1,1,3,2.2,0.08,1,0.8
109,Gaëtan Perrin,fr FRA,"MF,FW",Auxerre,26,1996,15.5,3,26,9,34.6,1.68,0.58,0.08,0.22,21.2,0,1,1,3,2.2,0.08,0,-0.2
110,Amine Salama,fr FRA,"FW,MF",Angers,22,2000,13.9,3,25,11,44,1.8,0.79,0.12,0.27,15.2,1,0,0,3,3,0.12,0,0
111,Adrien Thomasson,fr FRA,"MF,FW",Lens,28,1993,14.2,5,21,9,42.9,1.48,0.63,0.24,0.56,14.5,0,0,0,3,3,0.14,2,2
112,Vitinha,pt POR,MF,Paris S-G,22,2000,27.2,2,31,11,35.5,1.14,0.4,0.06,0.18,20.5,0,0,0,3,3,0.1,-1,-1
